Domain,Subdomain,Resource Name,Resource Link/Contact,Text in App
Academics/Work/Career Development,Setting and Achieving Goals,stickK,https://www.stickk.com/,"By asking users to sign Commitment Contracts, stickK helps users define their goal (whatever it may be), acknowledge what it’ll take to accomplish it, and leverage the power of putting money on the line to turn that goal into a reality."
Academics/Work/Career Development,Setting and Achieving Goals,A How-to Guide for Setting Better Goals,https://advanced-hindsight.com/blog/a-how-to-guide-for-setting-better-goals/,Setting your own goals can be done in just four simple steps. 
Academics/Work/Career Development,Career Development ,Virginia Workforce Connection,https://vawc.virginia.gov/vosnet/Default.aspx,Your gateway to employment and labor market information in Virginia.
Academics/Work/Career Development,Career Development ,Application and Interview Tips,https://www.youtube.com/watch?v=sLffu1MWzqU,"Review best practices and learn to avoid common missteps."
Academics/Work/Career Development,Career Development ,Virginia Career Works,https://virginiacareerworks.com/,Virginia Career Works is Virginia’s vital link between meaningful employment and growing businesses. Learn more about what they provide.
Academics/Work/Career Development,Workplace Issues and Conflict Management,How to Handle Conflict in the Workplace,https://blink.ucsd.edu/HR/supervising/conflict/handle.html#8.-Build-on-your-success.,Learn about some practical strategies you can use to handle conflict in the workplace.
Academics/Work/Career Development,Workplace Issues and Conflict Management,How to Interact With Difficult People,https://blink.ucsd.edu/HR/supervising/conflict/interact.html,"Learn practical strategies you can use to develop better working relationships with difficult people."
Academics/Work/Career Development,Workplace Issues and Conflict Management,How to Handle Conflict at Work,https://www.npr.org/2022/04/07/1091455113/how-to-handle-conflict-at-work,You don't have to figure out workplace conflict alone; a team of conflict-resolution experts have assembled tips to help you face workplace conflict head-on.
Academics/Work/Career Development,Workplace Issues and Conflict Management,Contact Your HR Department,,Don't hesitate to reach out to your Human Resources department when faced with workplace conflict; you are not alone. 
Family & Home Life,Families,Healthy Families of Charlottesville/Albemarle,https://readykidscville.org/family-support/healthy-families/,Healthy Families fosters nurturing family relationships for pregnant moms and safe environments for young children through regular home visiting.
Family & Home Life,Families,REAL Dads,https://readykidscville.org/family-support/real-dads/,"REAL Dads coaches incarcerated fathers and fathers who want a stronger relationship with their children to have Responsible, Empowered, Available and Loving relationships with their families."
Family & Home Life,Families,Region Ten Child and Family Services,https://regionten.org/service-type/children-family/,"The Child and Family Services center provides prevention, substance use and mental health services to the children and families in our community. The goals of these services are to help families build resiliency and keep children/youth safely in their homes and communities when possible."
Family & Home Life,Families,Virginia Association of Community Service Boards - CSB Directory,https://vacsb.org/csb-bha-directory/,Use this Community Service Board directory to find locally-provided mental health services in your area. 
Family & Home Life,Families,Virginia Department of Social Services,https://www.dss.virginia.gov/,"VDSS is one of the largest Commonwealth agencies, partnering with 120 local departments of social services, along with faith-based and non-profit organizations, to promote the well-being of children and families statewide."
Family & Home Life,Families,"Child Youth, and Family Services Offices in Virginia",https://www.countyoffice.org/va-child-family-youth-services/,"Search here to find Virginia's child, youth, and family services offices."
Family & Home Life,Security,FEAP Clothing Resources ,https://uvafeap.com/counseling-services/community-resources-support/clothing-resources,"FEAP offers resources for general clothing, maternity and baby clothing, and laundry services. "
Family & Home Life,Security,FEAP Housing and Utlility Resources ,https://uvafeap.com/counseling-services/community-resources-support/housing-and-utility-resources,"FEAP offers resources for renting, affordable housing, and utilities. "
Family & Home Life,Security,FEAP Food Resources,https://uvafeap.com/counseling-services/community-resources-support/food-resources,"FEAP offers resources for food banks and public meal programs, delivered food resources, and state food assistance. "
Family & Home Life,Security,UMA Social Worker,,Contact a social worker through UMA to help with security needs.
Family & Home Life,Security,myPlan App,https://www.myplanapp.org/,"A free app to help with safety decisions if you, or someone  you care about, is experiencing abuse in their intimate relationship.  It’s private, secure, personalized, & backed by research."
Family & Home Life,Security,Food Stamp Offices in Virginia,https://www.countyoffice.org/food-stamp-office/,Search here to find Virginia's food stamp offices.
Family & Home Life,Other,Piedmont Hospice,https://hopva.org/,Hospice of the Piedmont is a community-based nonprofit hospice that has offered expert care and peaceful resolution to Virginia families for over 40 years.
Family & Home Life,Other,Grieving: TIPS for living in a time of loss,https://womenscenter.virginia.edu/2021/03/grieving-tips-living-time-loss,Advice for people struggling with the loss of a loved one.
Finances,Managing Your Money,Financial Wellness: Shifting from How Much You Have to How You Use It,https://www.eudaimonicbydesign.com/resilience/financial,Learn about what financial wellness means and how to achieve it in your own life 
Finances,Managing Your Money,Tools from UVA Community Credit Union,https://www.uvacreditunion.org/content/Education-And-Tools,"Interested in learning about managing your money, investing, or even buying a house? Attend a free, one-hour seminar through UVA Community Credit Union "
Finances,Meeting Financial Needs,Financial Resources,https://uvafeap.com/counseling-services/community-resources-support/financial-resources,This comprehensive list cultivated by the UVA Faculty and Employee Assistance Program (FEAP) can help you meet your financial needs. 
Finances,"Food, Housing, etc.",FEAP Food Resources,https://uvafeap.com/counseling-services/community-resources-support/food-resources,"Food assistance, delivered food resources."
Finances,"Food, Housing, etc.",FEAP Housing and Utilities Resources,https://uvafeap.com/counseling-services/community-resources-support/housing-and-utility-resources,Resources available in the Charlottesville and Albemarle County area.
Finances,"Food, Housing, etc.",FEAP Transportation Resources,https://uvafeap.com/counseling-services/community-resources-support/transportation-resources,Bus and other transportation services.
Finances,"Food, Housing, etc.",FEAP Clothing Resources,https://uvafeap.com/counseling-services/community-resources-support/clothing-resources,Looking for discounted or affordable clothing? Check out this list of local clothing resources. 
Finances,"Food, Housing, etc.",UMA Social Worker,,Contact a social worker through UMA to help with food and housing needs.
Finances,"Food, Housing, etc.",Food Stamp Offices in Virginia,https://www.countyoffice.org/food-stamp-office/,Search here to find Virginia's food stamp offices.
Finances,"Food, Housing, etc.",211,https://www.211.org/,"Call 211 for essential community services; 211 connects you to expert, caring help. Every call is completely confidential."
Mental Health,Mindfulness and Meditation,Mindfulness Information Videos,https://med.virginia.edu/mindfulness-center/about/intro-to-mindfulness/,Learn more about mindfulness from two of UVA’s Mindfulness Center Instructors.
