Name of Survey,Title,Doses,Subject,Text,Input type,Input type 2,Minimum,Maximum,Media,Items,ImageFramed,Timeout,ShowButtons,Answer,Notes or questions,Variable name,Conditions,Input Name (if you want to save it),CanBeFavorited
Welcome!,Welcome!,1,Dose,"Welcome to Mindtrails! This initial session will be a bit longer than future sessions. You’ll first be asked to complete some surveys about your mental health and thinking patterns. Then, we’ll give you some more information about the rationale for this program and explain how to get the most out of the app. You’ll have the opportunity to set up a meeting with the research team at the end of this session if you have any questions or concerns. Ready to get started? Hit the Next button below to begin filling out questionnaires.",,,,,,,,,,,,,,,
Demographics,Demographics,1,Dose,What is your gender identity?,Buttons,,,,,Woman; Man; Transgender Woman; Transgender Man; !Another identity; ^Prefer not to answer,,,,,,,,gender,
Demographics,Demographics,1,Dose,Which of the following best represents how you think of yourself?,Buttons,,,,,"Lesbian or gay; Straight, that is, not gay or lesbian; Bisexual; !I use a different term; Don't know; ^Prefer not to answer ",,,,,,,,,
Demographics,Demographics,1,Dose,What is your birth year?,Picker,,1910,2010,,1910; 1911; 1912; 1913; 1914; 1915; 1916; 1917; 1918; 1919; 1920; 1921; 1922; 1923; 1924; 1925; 1926; 1927; 1928; 1929; 1930; 1931; 1932; 1933; 1934; 1935; 1936; 1937; 1938; 1939; 1940; 1941; 1942; 1943; 1944; 1945; 1946; 1947; 1948; 1949; 1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959; 1960; 1961; 1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969; 1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989; 1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; ^Prefer not to answer,,,,,,,,birthyear,
Demographics,Demographics,1,Dose,What is your race?,Checkbox,,,,,American Indian/Alaska Native; East Asian; South Asian; Native Hawaiian/Pacific Islander; Black/African origin; White/European origin; Other or Unknown; ^Prefer not to answer,,,,,,,,race,
Demographics,Demographics,1,Dose,What is your ethnicity?,Buttons,,,,,Hispanic or Latino; Not Hispanic or Latino; Unknown; ^Prefer not to answer,,,,,,,,ethnicity,
Demographics,Demographics,1,Dose,What is your highest educational attainment?,Buttons,,,,,Elementary School; Junior High; Some High School; High School Graduate; Some College; Associate’s Degree; Bachelor’s Degree; Some Graduate School; Master’s Degree; M.B.A.; J.D.; M.D.; Ph.D.; Other Advanced Degree; ^Prefer not to answer,,,,,,,,education,
Demographics,Demographics,1,Dose,What is your relationship status?,Buttons,,,,,"Single; Single, but casually dating; Single, but currently engaged to be married; Single, but currently living with someone in a marriage-like relationship; Married; In a domestic or civil union; Separated; Divorced; Widow/widower; Other; Prefer not to answer",,,,,,,,relationship,
Demographics,Demographics,1,Dose,What is your employment status?,Buttons,,,,,Working full-time; Working part-time; Unemployed or laid off; Looking for work; Homemaker/keeping house or raising children full-time; Retired; Student; Other; Unknown; Prefer not to answer,,,,,,,,employment,
Demographics,Demographics,1,Dose,"What is your household annual income, before taxes and other deductions (in US dollars or equivalent)?",Buttons,,,,,"Less than $5,000; $5,000 through $11,999; $12,000 through $15,999; $16,000 through $24,999; $25,000 through $34,999; $35,000 through $49,999; $50,000 through $74,999; $75,000 through $99,999; $100,000 through $149,999; $150,000 through $199,999; $200,000 through $249,999; $250,000 or greater; Don’t know; Prefer not to answer",,,,,,,,income,
Demographics,Demographics,1,Dose,How would you categorize the area in which you live?,Buttons,,,,,"Urban/large city (residing inside of a major city, e.g., Roanoke, Richmond, Virginia Beach); Urban/small city/town (residing inside of a small city or town, e.g., Charlottesville, Lynchburg, Salem, Blacksburg); Suburban (residing outside of a city or town, e.g., in a county outside but near Charlottesville); Rural (residing outside of urbanized areas, not near a city); Don't know",,,,,,,,,
Demographics,Demographics,1,Dose,How did you hear about the program?,Buttons,,,,,My provider told me about it; I saw a sign on the wall in the lobby or patient room; !Other:,,,,,,,,,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,"We would like to ask a few questions about your mental health and treatment history. Answers to these personal questions are kept confidential, but they help us improve Mindtrails by figuring out for whom it works well. 
",,,,,,,,,,,,,,,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,Are you currently struggling with any of the following mental disorders? Please select all that apply.,Checkbox,,,,,Generalized anxiety disorder (GAD); Obsessive-compulsive disorder (OCD); Panic disorder; Agoraphobia; Posttraumatic stress disorder (PTSD); Social anxiety disorder; Specific phobia(s); Dementia or other cognitive disorder; Substance use disorder; Schizophrenia or other psychotic disorder; Depression; Bipolar disorder; Eating disorder; Personality disorder; Intellectual Disability; Autism Spectrum Disorder; Attention-Deficit/Hyperactivity Disorder; ^I am not struggling with a mental disorder; ^Prefer not to answer; !Other:,,,,,specify other,,,mental_health_disorders,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,"Are you currently receiving any help for issues related to mental health? Please select all that apply, or “I am not receiving help”.",Checkbox,,,,,"Therapy::Therapy (talking with a trained professional)\n\nExamples: Psychologist, licensed mental health practitioner (LMHC), school counselor, social worker, marriage and family therapist, group therapist; Prescription:: Prescription medications\n\nExamples: Psychiatrist, medical doctor; Social::Seeking social support (talking with non-professionals)\n\nExamples: Teacher, family member, friend, religious leader, coach; SelfHelp::Self-guided help\n\nExamples: Self-help book, blogs, online intervention (other than Mindtrails), mobile applications; OTC::Over-the-counter medications and/or supplements; ^None::I am not receiving help; ^NoAnswer::Prefer not to answer; !Other::Other:",,,,,specify other,HelpReceived,,help,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,Has therapy (talking with a trained professional) been helpful? \n\n1 = Not helpful at all\n4 = Somewhat helpful\n7=Extremely helpful,Slider,,1,7,,,,,,,,,HelpReceived; Therapy,therapy_helpful,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,Have prescription medications been helpful? \n\n1 = Not helpful at all\n4 = Somewhat helpful\n7=Extremely helpful,Slider,,1,7,,,,,,,,,HelpReceived; Prescription,prescriptions_helpful,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,Has seeking social support (talking with non-professionals) been helpful? \n\n1 = Not helpful at all\n4 = Somewhat helpful\n7=Extremely helpful,Slider,,1,7,,,,,,,,,HelpReceived; Social,social_support_helpful,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,Has self-guided help been helpful? \n\n1 = Not helpful at all\n4 = Somewhat helpful\n7=Extremely helpful,Slider,,1,7,,,,,,,,,HelpReceived; SelfHelp,self-guided_helpful,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,Has over-the-counter medications and/or supplements been helpful? \n\n1 = Not helpful at all\n4 = Somewhat helpful\n7=Extremely helpful,Slider,,1,7,,,,,,,,,HelpReceived; OTC,OTC_meds_helpful,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,"Has what you specified in ""other"" been helpful? \n\n1 = Not helpful at all\n4 = Somewhat helpful\n7=Extremely helpful",Slider,,1,7,,,,,,,"Based on if they press: therapy, precription medications, seeking oscial support, self-guided help, over-the-counter medications and/or supplements, other",,HelpReceived; Other,other_helpful,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,There are many reasons people do not receive help. Why are you not receiving mental health treatment? Please select all that apply.,Checkbox,,,,,"I don’t think a prescription medication would help me; I don’t like the idea of taking prescription medication; I can’t afford to pay for treatment; I don’t want to talk to a mental health professional (e.g., a therapist); I don’t think that a mental health professional can help me; It is hard to find a mental health professional near me; I don’t know how to find a mental health professional; I am embarrassed to seek treatment; I don’t want to be asked to face my fears (e.g., not wanting to interact with a spider for a person with spider fear); I don’t want to talk about my feelings; I don’t have time; I had treatment previously and didn’t find it helpful; I don't need help at this time; ^Prefer not to anwer; !Other:",,,,,,,HelpReceived; None,reasons_not_receiving_help,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,"In the past two months, have there been any changes to your mental health treatment? Check all that apply. ",Checkbox,,,,,I started therapy; I ended therapy; I changed therapists; My prescriber changed my prescription dose; I started a prescription medication; I stopped a prescription medication; I haven’t had any changes; ^Prefer not to answer; !Other:,,,,,specify other,,,changes_treatment,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,Do you have moderate-to-severe anxiety or depression symptoms?,Buttons,,,,,Yes::Yes; No::No; Unsure::Unsure,,,,,,anxiety_or_depression,,anxiety_or_depression,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,How long have you been experiencing moderate-to-severe anxiety or depression symptoms?,Buttons,,,,,One week; Between 1 week and 1 month; Between 1-3 months; Between 3-6 months; Between 6-12 months; Between 1-2 years; Between 2-5 years; Between 5-10 years; More than 10 years; Prefer not to answer,,,,,,,anxiety_or_depression; Yes,length_anxiety_symptoms,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,Dose,How long have you been experiencing moderate-to-severe anxiety or depression symptoms?,Buttons,,,,,One week; Between 1 week and 1 month; Between 1-3 months; Between 3-6 months; Between 6-12 months; Between 1-2 years; Between 2-5 years; Between 5-10 years; More than 10 years; I’m not experiencing moderate-to-severe anxiety; Prefer not to answer,,,,,,,anxiety_or_depression; Unsure,length_anxiety_symptoms,
Interpretation Bias Measures,A Brief Exercise,1,Dose,"In this brief exercise, you will read several short stories.\n\nPlease read each one carefully and try to imagine yourself in the situation.\n\nThe last word of each story is incomplete. Click on the missing letter to complete the word.\n\nAfter you correctly complete the word, you will be asked a question about the story. Answer the question based on the information in the story.",,,,,,,,,,,,,,,
Interpretation Bias Measures,The Elevator,1,Dose,You are in the lobby of your friend’s new apartment building.  You press the button to the elevator to go up. The building looks old. As you get on the elevator you think about its...,Puzzle,,,,,safety,,,,,,,,IBM_elevator_puzzle,
Interpretation Bias Measures,The Elevator,1,Dose,Did you think about the elevator’s safety?,Buttons,,,,,Yes; No,,,,Yes,,,,IBM_elevator,
Interpretation Bias Measures,The Wedding Reception,1,Dose,"Your friend asks you to give a speech at her wedding reception. You prepare some remarks and when the time comes, get to your feet. As you speak, you notice some people in the audience start to...",Puzzle,,,,,laugh,,,,,,,,IBM_wedding_puzzle,
Interpretation Bias Measures,The Wedding Reception,1,Dose,Does the audience laugh when you speak?,Buttons,,,,,Yes; No,,,,Yes,,,,IBM_wedding,
Interpretation Bias Measures,The Job,1,Dose,"You are currently working as a contractor for a company. Once this job is finished, you will be without employment until you can find your next job. You think about not having an income for a few weeks and about your future...",Puzzle,,,,,finances,,,,,,,,IBM_job_puzzle,
Interpretation Bias Measures,The Job,1,Dose,Will you be without an income soon?,Buttons,,,,,Yes; No,,,,Yes,,,,IBM_job,
Interpretation Bias Measures,The Loud Noise,1,Dose,You are woken up in the middle of the night by a loud noise. You are not sure what caused the noise and leave your bedroom to see what happened. You walk...,Puzzle,,,,,downstairs,,,,,,,,IBM_noise_puzzle,
Interpretation Bias Measures,The Loud Noise,1,Dose,Have you been woken up in the middle of the night?,Buttons,,,,,Yes; No,,,,Yes,,,,IBM_noise,
Interpretation Bias Measures,Meeting a Friend,1,Dose,"In the street you bump into an old friend you haven't seen for a long time. She is too busy to stop, so you arrange to meet later in a bar. You arrive a little late but the bar is empty and a few minutes later she is still not...",Puzzle,,,,,there,,,,,,,,IBM_friend_puzzle,
Interpretation Bias Measures,Meeting a Friend,1,Dose,Did your friend stop?,Buttons,,,,,Yes; No,,,,No,,,,IBM_friend,
Interpretation Bias Measures,The Lunch,1,Dose,"You are eating lunch with a friend. As you start eating your salad, you describe your plans for the weekend. You accidentally drop a piece of lettuce, and your friend looks at...",Puzzle,,,,,you,,,,,,,,IBM_lunch_puzzle,
Interpretation Bias Measures,The Lunch,1,Dose,Do you have salad for lunch?,Buttons,,,,,Yes; No,,,,Yes,,,,IBM_lunch,
Interpretation Bias Measures,The Scrape,1,Dose,"You are playing basketball with some friends. While running toward the ball, you trip and scrape your knee. The scrape hurts a bit, but does not...",Puzzle,,,,,bleed,,,,,,,,IBM_scrape_puzzle,
Interpretation Bias Measures,The Scrape,1,Dose,Are you playing soccer with your friend?,Buttons,,,,,Yes; No,,,,No,,,,IBM_scrape,
Interpretation Bias Measures,The Shopping Trip,1,Dose,"You are at the mall with your friend. While you shop, she tells you how several of her friends have recently come down with a strange illness. You think about your recent health, and wonder if you will get...",Puzzle,,,,,sick,,,,,,,,IBM_shopping_puzzle,
Interpretation Bias Measures,The Shopping Trip,1,Dose,Are you shopping alone?,Buttons,,,,,Yes; No,,,,No,,,,IBM_shopping,
Interpretation Bias Measures,The Blood Test,1,Dose,"You are at a routine doctor's appointment. At the appointment, the doctor decides to run a few blood tests to check your health. The doctor says he will call you in a few weeks, and you will find out your test results at that...",Puzzle,,,,,time,,,,,,,,IBM_blood_puzzle,
Interpretation Bias Measures,The Blood Test,1,Dose,Did you take blood tests?,Buttons,,,,,Yes; No,,,,Yes,,,,IBM_blood,
Interpretation Bias Measures,Some questions,1,Dose,"Next, you will see the titles of the nine short stories you just read. After each one, you will see four sentences. None of these sentences are identical to the original story, but some are more similar than others.\n\nThink back to the story you read, and rate how similar each sentence is to what you read in the original story. We are interested in your understanding of the original story, whether or not that matches what you would personally think or do in that situation.",,,,,,,,,,,,,,,
